; ===== 트레잇 오써링 CSV (기존 182 스켈레톤 + 새 스키마) =====
; 인코딩 규약: design/traits_authoring_sample.csv 상단 참조
; ★ effects/bridges 값 전부 잠정 1차 패스 — 세부 다듬기/통합 밸런싱에서 조정
; effects/bridges/subMain/subSub/acquire/rarity/contraPair = 밸런싱/콘텐츠 패스에서 채움
; 신규 로스터 이름(trait_roster.md [신])은 아직 미포함 — id 부여 후 추가

[combat]
id,name,category,tier,rarity,subMain,subSub,acquire,apCost,element,dmgMult,target,effects,bridges,contraPair,description
CT_PIERCE,찌르기,전투,1,,공격형,위,,1,위,1,single,,,,위 속성 기본 공격. 단일 대상 찌르기.
CT_VENOM_STING,독침,전투,1,,제어형,식,,1,식,0.8,single,,special|dot독|0.2,,식 속성. 독 지속 데미지를 부여하는 침.
CT_COLD_RADIATION,냉기방사,전투,1,,공격형,열,,2,열,1.2,area,,,,열 속성 — 열을 빨아들여 주변을 냉각. 범위 데미지.
CT_HEAT_WALL,내열벽,전투,2,,방어형,열,,0,열,0,self,,stat|defense.열|add|0.3,,패시브. 열 속성 피격 시 데미지 감소.
CT_FLASH_SLASH,섬광참,전투,2,,공격형,광,,2,광,1.5,single,,,,광 속성. 선제공격 보정이 붙는 고데미지 참격.
CT_OVERLOAD,과부하,전투,2,,공격형,위,,3,위,2,single,,,,AP 1 추가 소비로 데미지가 크게 증폭된다.
CT_CORROSION_FIELD,부식장,전투,2,,공격형,식,,2,식,0.7,area,,,,식 속성 범위 공격. 매 라운드 범위가 확대된다.
CT_ASH_RESIDUE,소각재,전투,2,,지원형,None,,0,None,0,self,탐사|드랍률|mult|1.2,,,패시브. 전투 종료 후 재료 드랍률에 보정을 준다.
CT_CRUSHING_CHARGE,분쇄돌진,전투,2,,공격형,동,,3,동,1.8,single,,,,물리+동 복합 공격. 선제 시 추가 데미지가 붙는다.
CT_INTIMIDATION,위압,전투,2,,제어형,None,,1,None,0,all_enemies,,special|enemyAtkDown|0.1 ; special|aggroUp|0.5,,적 전체의 공격력을 소폭 하락시킨다.
CT_HARDEN,경화,전투,1,,방어형,None,,0,None,0,self,,stat|DEF|mult|1.1|when:피격,,패시브. 피격 시 일정 확률로 방어가 상승한다.
CT_EROSION_BITE,침식물기,전투,1,,공격형,식,,1,식,0.9,single,,,,식 속성 근접. 시간 경과로 추가 데미지가 발생한다.
CT_BINDING_THREAD,결속사,전투,2,,제어형,광,,2,광,0.5,single,,special|enemySpeedDown|0.2,,광 속성. 적의 행동을 지연시키는 실을 발사한다.
CT_SEAL_LIGHT,봉인광,전투,2,,제어형,광,,2,광,0.6,single,,special|sealTrait|1,,광 속성. 적 트레잇 하나를 일시적으로 무력화한다.
