; 조교 행위 밸런스 테이블 (training.js ACTIONS)
; id: 행위 번호, name: 이름, intensity: 강도(1~5)
; targets: 부위=배율 (세미콜론 구분), unlock: 해금조건, expKey: 경험치키
; requiresTool: 도구필요 여부
id,name,intensity,targets,unlock_lewdness,unlock_affection,unlock_partSen,requiresTool,expKey,flavor
1,머리쓰다듬기,1,skin=1.0,0,0,,false,caress,부드럽게 머리를 쓰다듬는다.
2,포옹,1,skin=1.0;chest=0.3,0,0,,false,caress,따뜻하게 껴안는다.
3,손잡기,1,skin=0.8,0,0,,false,caress,손을 부드럽게 잡는다.
4,가슴 애무,1,chest=1.0;skin=0.2,0,0,,false,caress,가슴을 부드럽게 만진다.
5,엉덩이 애무,1,anal=0.7;skin=0.3,0,0,,false,caress,엉덩이를 만진다.
6,전신 애무,1,skin=1.0;chest=0.2;c=0.1,0,0,,false,caress,전신을 천천히 어루만진다.
7,키스,2,mouth=1.0;chest=0.3,15,0,,false,kiss,입술을 겹친다.
8,가슴 주무르기,2,chest=1.2;skin=0.3,15,0,,false,stimulate,가슴을 적극적으로 주무른다.
9,유두 자극,2,chest=1.5,20,0,,false,stimulate,유두를 손가락으로 집중 자극한다.
10,클리 자극,2,c=1.3;skin=0.2,20,0,,false,stimulate,클리토리스를 손가락으로 자극한다.
11,로터(C),3,c=1.5;v=0.5,20,0,,true,toy,클리에 로터를 대고 진동시킨다.
12,V 손가락,2,v=1.2;c=0.4,25,0,,false,stimulate,질 내부를 손가락으로 자극한다.
13,로터(V),3,v=1.5;c=0.3,25,0,,true,toy,질 안에 로터를 넣고 진동시킨다.
14,딥키스,3,mouth=1.5;chest=0.4;skin=0.3,30,2,,false,kiss,혀를 깊이 넣어 입 안을 탐색한다.
15,유두 핥기,3,chest=1.5;mouth=0.3,30,0,,false,lick,유두를 혀로 핥고 빤다.
16,A 손가락,2,anal=1.0,30,0,,false,stimulate,항문을 손가락으로 자극한다.
17,로터(A),3,anal=1.3,35,0,,true,toy,항문에 로터를 넣는다.
18,클리 핥기,3,c=1.8;v=0.5,40,0,,false,lick,클리토리스를 혀로 집중적으로 핥는다.
19,V 핥기,3,v=1.5;c=0.5;skin=0.2,40,3,,false,lick,커닐링구스.
20,A 핥기,3,anal=1.3;skin=0.3,45,0,,false,lick,항문을 혀로 핥는다.
21,V 삽입,4,v=2.0;c=0.8;skin=0.3,55,3,v=20,false,insert,천천히 삽입한다.
22,A 삽입,4,anal=1.8;v=0.3,55,3,anal=20,false,insert,항문에 삽입한다.
23,격렬 삽입,5,v=2.5;c=1.0;anal=0.5;skin=0.5,75,4,v=40,false,insert,거칠게 몰아붙인다.
24,조련,5,v=1.5;c=1.5;anal=1.0;chest=1.0;mouth=0.5;skin=0.5,80,4,,false,discipline,본격적으로 조련한다.
25,구속 애무,3,skin=1.0;chest=0.6,0,0,,ITEM_RESTRAINT|명령계,discipline,묶인 채로 어루만진다. (gains 복종1.2/음란0.7)
26,구속 개발,4,v=1.3;c=0.8;chest=0.5,30,0,,ITEM_RESTRAINT|명령계,discipline,구속한 채 깊이 개발한다. (gains 복종1.5/음란1.0/공포0.3)
27,채찍질,3,skin=1.2,20,0,,ITEM_WHIP,discipline,소리가 먼저 닿는다. (gains 공포1.0/복종0.8/음란0.4/반감0.5)
28,명령 조련,2,skin=0.8;mouth=0.4,0,0,,명령계,discipline,말만으로 움직이게 한다. (gains 복종1.3/연모0.2)
29,구속 방치,2,skin=0.7,0,0,,ITEM_RESTRAINT|명령계,discipline,묶어둔 채 기다리게 한다. (gains 복종1.4/공포0.2)

; 조교 스케일 상수 (v1 senGain ↔ v2 절정임계 100 간극 보정 — 통합 밸런싱에서 재조정)
[training_constants]
pleasureScale,5
pleasureFeedCapPct,0.3
