; ═ 트레잇 합성 레시피 v2 (2026-07-17 전면 재생성 — 구 TSYN 30 은퇴) ═
; 전부 실 레지스트리 id. 효과=traits.csv 정본(여기 미기재). 정본 소스=synthesis_chains.csv+cross_staging.csv
; 은퇴: 체인 대체 12(구 직행)·백기/폭주=상태조건 전환(레시피 없음)·티어다운 26=선천(레시피 폐기)

[recipes]
id,name,requiredTraits,resultTrait,resultCategory,tier,effect,description
SYN_0001,임계폭발,CT_KARMIC_FLAME;CT_OVERLOAD,CT_CRITICAL_BURST,전투,3,—,체인
SYN_0002,회색 늑대,CT_CRITICAL_BURST;CT_CRUSHING_CHARGE,CT_GRAY_WOLF,전투,4,—,체인
SYN_0003,달굼불,CT_KARMIC_FLAME;CT_PINCER_STRIKE,CT_TEMPER_FLAME,전투,3,—,체인
SYN_0004,살라만더,BT_CINNABAR;CT_TEMPER_FLAME,CT_SALAMANDER,전투,4,—,체인
SYN_0005,열폭주,CT_COLD_RADIATION;CT_HEAT_WALL,CT_HEAT_RUNAWAY,전투,3,—,체인
SYN_0006,화산,CT_HEAT_RUNAWAY;PT_EMOTIONAL_BURST,CT_VOLCANO,전투,4,—,체인
SYN_0007,석압,CT_DEEP_PRESSURE;CT_PETRIFY_GAZE,CT_STONE_PRESS,전투,3,—,체인
SYN_0008,천근추,BT_LEADGUARD;CT_STONE_PRESS,CT_TON_WEIGHT,전투,4,—,체인
SYN_0009,관통파,CT_OVERLOAD;CT_PIERCE,CT_PIERCE_WAVE,전투,3,—,체인
SYN_0010,붕성추,BT_LARGE_FRAME;CT_PIERCE_WAVE,CT_RAM_BREAKER,전투,4,—,체인
SYN_0011,정광,CT_FOCUSED_LIGHT;CT_SEAL_LIGHT,CT_PURE_LIGHT,전투,3,—,체인
SYN_0012,집광진,CT_PURE_LIGHT;PT_OBSERVANT,CT_FOCUS_ARRAY,전투,4,—,체인
SYN_0013,난반사,CT_FLASH_SLASH;CT_REFLECT,CT_DIFFUSE_REFLECT,전투,3,—,체인
SYN_0014,백야,BT_GOLDBODY;CT_DIFFUSE_REFLECT,CT_WHITE_NIGHT,전투,4,—,체인
SYN_0015,공명,CT_ECHO;CT_REQUIEM,CT_RESONANCE,전투,3,—,체인
SYN_0016,공진파,BT_TINBODY;CT_RESONANCE,CT_RESONANCE_WAVE,전투,4,—,체인
SYN_0017,진격,CT_CRUSHING_CHARGE;CT_EARTHQUAKE,CT_ADVANCE,전투,3,—,체인
SYN_0018,천붕,CT_ADVANCE;CT_IMMOVABLE,CT_SKYFALL,전투,4,—,체인
SYN_0019,영역부식,CT_CORAL_EROSION;CT_CORROSION_FIELD,CT_AREA_CORROSION,전투,3,—,체인
SYN_0020,치명독,AT_POISON_SENSITIVITY;CT_AREA_CORROSION,CT_LETHAL_POISON,전투,4,—,체인
SYN_0021,부식운,CT_CORROSION_FIELD;CT_SPORE_SPREAD,CT_CORROSION_CLOUD,전투,3,—,체인
SYN_0022,녹사자,CT_CORROSION_CLOUD;PT_POSSESSIVE,CT_GREEN_LION,전투,4,—,체인
SYN_0023,자장,BT_REDCOPPER;PT_SEDUCTIVE,CT_MAGNETIC_FIELD,전투,3,—,체인
SYN_0024,자심,CT_INTIMIDATION;CT_MAGNETIC_FIELD,CT_MAGNET_CORE,전투,4,—,체인
SYN_0025,척력,BT_REDCOPPER;CT_CRYSTAL_REFLECT,CT_REPULSION,전투,3,—,체인
SYN_0026,척력장,CT_BARRIER;CT_REPULSION,CT_REPULSION_FIELD,전투,4,—,체인
SYN_0027,구속망,CT_BINDING_THREAD;CT_PARALYSIS_TENTACLE,CT_BIND_NET,전투,3,—,체인
SYN_0028,완전속박,CT_BIND_NET;CT_SEAL_ART,CT_TOTAL_BIND,전투,4,—,체인
SYN_0029,해부학,CT_DISASSEMBLE_ANALYZE;CT_PRECISION_INCISION,CT_ANATOMY,전투,3,—,체인
SYN_0030,해부학적 약점,CT_ANATOMY;CT_WEAK_POINT_DETECT,CT_ANATOMY_WEAK,전투,4,—,체인
SYN_0031,부동성채,CT_IRON_WALL;PT_STUBBORN,CT_IMMOVABLE_FORT,전투,3,—,체인
SYN_0032,불괴,CT_CRYSTAL_BARRIER;CT_IMMOVABLE_FORT,CT_ADAMANT,전투,4,—,체인
SYN_0033,간호,CT_SELF_REPAIR;CT_SOOTHE,CT_NURSING,전투,3,—,체인
SYN_0034,펠리컨,CT_GUARDIAN;CT_NURSING,CT_PELICAN,전투,4,—,체인
SYN_0035,무영,CT_EVASION_DANCE;CT_MIST_FIELD,CT_SHADOWLESS,전투,3,—,체인
SYN_0036,수사슴,CT_INSIGHT;CT_SHADOWLESS,CT_STAG,전투,4,—,체인
SYN_0037,위광,PT_ARROGANT;PT_DOMINATION,PT_MAJESTY,성격,3,—,체인
