; 효과/브릿지 정본 = traits.csv [adult] 변용 16행 (레지스트리 단일화 2026-07-17) — 이 파일은 배치 메타(도임계·coReq)만
route,도,id,name,침염임계,coReq,effects,bridge,종착
애착,1,AT_LONGING,연모,2,,,,
애착,2,AT_AFFECTION,친애,5,호감도>=친밀,,,
애착,3,AT_DEVOTED_LOVE,상애,9,호감도>=신뢰,,,
애착,4,AT_CONSORT,반려,14,호감도>=유대,,,종착
예속,1,AT_OBEDIENCE,복종,2,,,,
예속,2,AT_SUBMISSION,굴복,5,역가.숙련>=2,,,
예속,3,AT_BRAND,낙인,9,역가.숙련>=3,,,
예속,4,AT_ENSLAVED,예속,14,역가.숙련>=4,,,종착
탐닉,1,AT_LEWD,음란,2,,,,
탐닉,2,AT_LEWDENING,음화,5,감도>=40,,,
탐닉,3,AT_LUST,색정,9,감도>=60,,,
탐닉,4,AT_SUCCUBUS,음마,14,감도>=80,,,종착
붕괴,1,AT_FRACTURE,균열,2,,,,
붕괴,2,AT_MADNESS,광기,5,,,,
붕괴,3,AT_DISSOLUTION,와해,9,,,,
붕괴,4,AT_RECONSTRUCT,재구성,14,,,,종착
